updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 030,ocd-division/country:us/state:la/parish:jefferson/precinct:_030,199,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 030,ocd-division/country:us/state:la/parish:jefferson/precinct:_030,104,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 034,ocd-division/country:us/state:la/parish:jefferson/precinct:_034,153,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 034,ocd-division/country:us/state:la/parish:jefferson/precinct:_034,56,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 038,ocd-division/country:us/state:la/parish:jefferson/precinct:_038,157,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 038,ocd-division/country:us/state:la/parish:jefferson/precinct:_038,59,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 039,ocd-division/country:us/state:la/parish:jefferson/precinct:_039,157,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 039,ocd-division/country:us/state:la/parish:jefferson/precinct:_039,53,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 042,ocd-division/country:us/state:la/parish:jefferson/precinct:_042,141,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 042,ocd-division/country:us/state:la/parish:jefferson/precinct:_042,74,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 043,ocd-division/country:us/state:la/parish:jefferson/precinct:_043,126,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 043,ocd-division/country:us/state:la/parish:jefferson/precinct:_043,46,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 044,ocd-division/country:us/state:la/parish:jefferson/precinct:_044,198,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 044,ocd-division/country:us/state:la/parish:jefferson/precinct:_044,57,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Julie Quinn,,,,,R,Jefferson,00 045,ocd-division/country:us/state:la/parish:jefferson/precinct:_045,135,,,,,2005
2015-10-07 22:44:15.213000,la-2005-07-09-special-general,2005-07-09 00:00:00,2005-07-09 00:00:00,general,certified,True,State Senate,6,Diane Winston,,,,,R,Jefferson,00 045,ocd-division/country:us/state:la/parish:jefferson/precinct:_045,49,,,,,2005
