updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Winn,ocd-division/country:us/state:la/parish:winn,66,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Winn,ocd-division/country:us/state:la/parish:winn,634,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,West Carroll,ocd-division/country:us/state:la/parish:west_carroll,29,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,West Carroll,ocd-division/country:us/state:la/parish:west_carroll,327,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Union,ocd-division/country:us/state:la/parish:union,75,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Union,ocd-division/country:us/state:la/parish:union,936,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Tensas,ocd-division/country:us/state:la/parish:tensas,29,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Tensas,ocd-division/country:us/state:la/parish:tensas,457,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Richland,ocd-division/country:us/state:la/parish:richland,141,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Richland,ocd-division/country:us/state:la/parish:richland,485,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Rapides,ocd-division/country:us/state:la/parish:rapides,742,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Rapides,ocd-division/country:us/state:la/parish:rapides,6490,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Pointe Coupee,ocd-division/country:us/state:la/parish:pointe_coupee,64,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Pointe Coupee,ocd-division/country:us/state:la/parish:pointe_coupee,362,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Ouachita,ocd-division/country:us/state:la/parish:ouachita,747,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Ouachita,ocd-division/country:us/state:la/parish:ouachita,5597,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Morehouse,ocd-division/country:us/state:la/parish:morehouse,143,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Morehouse,ocd-division/country:us/state:la/parish:morehouse,1644,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Andrew Clack,,,,,R,,Madison,ocd-division/country:us/state:la/parish:madison,54,,,,,2008
2015-10-07 22:50:48.254000,la-2008-10-04-primary,2008-10-04 00:00:00,2008-10-04 00:00:00,primary,certified,False,U.S. House,5,Rodney Alexander,,,,,R,,Madison,ocd-division/country:us/state:la/parish:madison,652,,,,,2008
